Rank,Wallet Address,Buy Count,Sell Count,Total Buy SOL,Total Sell SOL,Net SOL (Modal),Sisa Token (Net),Realized Profit USD,Balance,Tags
787,HUpvDkk1QqABynbGgpLb2Q3ACwbu3m6HRqrXQkr72QHK,0,1,0.0000,0.0178,-0.0178,-25653.39,-9.10,0,""
788,6ip66PjR3CL6SBRizNL7BMgiwnPz4ed96coznqTHJD9g,1,1,0.0956,0.1135,-0.0179,0.00,0.84,0,""
789,nikaZhqeJSSxRKMQowzVThPFgLacCL4QVz5sG9VX6k9,2,2,0.3564,0.3746,-0.0182,23347.04,5.99,0,"fresh_wallet; bluechip_owner"
790,4dMJg5bsvWSq56zLujsXxTGaBrgKepeHdtFYSrgwho5y,0,1,0.0000,0.0186,-0.0186,-34383.17,-49.72,0,"axiom"
791,E4Ni7njMTa48YY83YdfapD9o5imUhX6TQTPuKxFyX6Xe,0,1,0.0000,0.0195,-0.0195,-19505.74,-3.71,974257.239481,""
792,6AGp6zbGNuyZpmzeswv9KCNU15Rf37UQDqDqFAeHmS8d,4,4,0.6572,0.6769,-0.0197,26769.96,241.02,0,""
793,82vDRwsebqxJWJPcnT9w6ECny8r2ry5EovP4Dkkt6phB,0,1,0.0000,0.0200,-0.0200,-26388.62,-101.45,0,""
794,xDDHb42oFRQ71pWbwCM4Fqj19WHKxTknMReKy8XUNcg,2,2,0.4340,0.4543,-0.0202,0.00,118.86,0,"smart_degen"
795,E9pTj3fVh5YSK6on2vQDNPMkCkwY7GipVpKMnaDrFrfR,0,1,0.0000,0.0207,-0.0207,-48115.20,-18.40,0,"gmgn"
796,C7KfNVYJ3Dk2h1zjoJjxBFeDRoNWTPf5EgTkdzc3QoCb,1,1,0.3106,0.3317,-0.0210,-140583.24,-46.88,0,"trojan"
797,2MZZztW33VFMtECXRXkgU9RunYgNsi7hL3DZVk64rknZ,0,1,0.0000,0.0216,-0.0216,-15875.74,0.61,0,""
798,8kTXGWyoWYd83vfkEbzU1dgxRNbz6wPR8RKEx1nLJD7A,0,1,0.0000,0.0217,-0.0217,-36823.13,-11.65,0,""
799,ApeYxAVqmn5Y71cgMW7CtuKzCPNkoA8vDamE2emtdPf1,0,1,0.0000,0.0217,-0.0217,-25755.49,0.00,0,"paper_hands"
800,8PLo1fuqhvYcQwpM6cjAhAeWU7WpKD5BAZ86Q6bkB9zJ,0,1,0.0000,0.0217,-0.0217,-31110.80,0.00,0,""
801,7R5UQ1mRBRxzYJWdV2y4ve4av88BSSncHxPf1kgkabaK,2,3,0.0084,0.0302,-0.0218,-15170.28,4.03,0,"paper_hands"
802,AhgPUeWKpM6p3pqsec9LmN2yG1MkFMWn6YuXGYa5zVYA,0,1,0.0000,0.0218,-0.0218,-41850.39,329.91,0,"gmgn"
803,5XnKwFCzzcYGTiBHSbSD4sDEu9sPSYrWwc4npJKDe94a,0,1,0.0000,0.0222,-0.0222,-33325.83,-75.65,0,""
804,3bsUQARz3HwXmCGacp7CmbP9FHZCPxfNY6phPajtQE5r,0,1,0.0000,0.0226,-0.0226,-37863.67,0.00,0,""
805,popo3Rj6arKNttyUFpWfbkv2gG8uS13TGtmH6JPMuHz,2,4,4.5741,4.5971,-0.0230,0.00,560.19,0,"paper_hands; bundler"
806,GLXTWMeC4yMSpYNvBu2YbzhwmnV1SX1S5YMPvp5uuYAM,55,8,0.6089,0.6335,-0.0246,4544.11,77.47,0,"paper_hands"
807,3pBVyQRZmvue1biZonm8w9DZHPZJPvVZnwQQLY5PzGSe,1,1,1.9604,1.9851,-0.0247,0.00,82.06,0,"axiom; bundler; paper_hands"
808,FGDGwJPDkWw91iWbAwj4Q3R7s4tBQwVLcHsQvnaBTaCp,1,1,0.1963,0.2213,-0.0250,-137781.55,36.85,0,""
809,DsCJ5siuJTPQtQa3A9N69azGZaWtUPzi9VPp2G9Jfpx9,3,3,0.5118,0.5372,-0.0254,0.00,1178.04,0,"sandwich_bot; paper_hands"
810,5aWGYrKAAaqEygFL4yYTXrbzSLgTxSosbNHsNzxox43p,0,1,0.0000,0.0255,-0.0255,-18183.12,-0.80,0,""
811,3yS3cY9PwRZwKkLCAWGsmM4j5QHnPdQCzHPSCnnDm9Jv,1,1,0.4008,0.4264,-0.0256,0.00,121.02,0,"paper_hands; bundler"
812,Cn86XkHWxnxwKE5PQ26iwytigRvK2DUqmTnpsfNA2YGf,0,1,0.0000,0.0260,-0.0260,-37584.77,-23.12,0,"bundler"
813,ADff4mQrZcNwpHxBcJeKqVhWYUUd78mWbTdMHcjofxuY,1,3,0.0115,0.0377,-0.0261,-23403.26,3.01,202315.881121,""
814,4w1tTQB8TY1FGCwt3WkeNy68kAgZRDm1NumEVjYDi6v1,1,2,0.0352,0.0617,-0.0264,-29289.22,25.95,0,"bundler"
815,GhifnHMJh3eY9c8PuuQ8rCA6eQqHogBqmqz3N352jagY,0,1,0.0000,0.0266,-0.0266,-42628.41,-1.38,0,""
816,7J4EMpvQXJ6kQyNqQHHmoj5ZVWAQf8jau21Yd4JMr4yH,0,1,0.0000,0.0267,-0.0267,-41276.14,-12.25,0,"trojan"
