Rank,Wallet Address,Buy Count,Sell Count,Total Buy SOL,Total Sell SOL,Net SOL (Modal),Sisa Token (Net),Realized Profit USD,Balance,Tags
915,CLXQYxZnTiUHm7sPvZ658H3WQWsmmrAgd9BeznJekW7n,0,2,0.0000,0.0675,-0.0675,-152458.33,-0.05,0,""
916,FHBiXhHtv4ef4VBD21wnJc1XhxMzDd22PDbKMjfZvruV,2,3,0.1978,0.2656,-0.0677,-74376.22,-10.52,0,"gmgn"
917,G9bXEyqHcHmp1hRroRC2J79cQxJxSzBhMphBRqEFUkkX,0,1,0.0000,0.0678,-0.0678,-112011.92,-14.80,0,"trojan"
918,5WvMH4ayuJ2hhEyVjRgooWdu2BPdSVkuHppo1ReFqHqF,1,3,0.0324,0.1009,-0.0685,-52435.42,-0.84,0,""
919,9uoxV1WvgH47UPYQePveSxLk1FzZENW15dk4q5vfsPLj,0,1,0.0000,0.0696,-0.0696,-109156.91,-49.52,0,""
920,3JSviu5w7PrKd26KFSH3incBmddcJrd3ZuoqUjNoq7Bm,0,1,0.0000,0.0700,-0.0700,-54852.91,-391.12,0,""
921,F8fM88y3iPdJEiPkBjC9PfEMQKSRBtXQkB6e4KUu1QK1,0,1,0.0000,0.0710,-0.0710,-92713.62,-23.72,0,""
922,FEDA3oQSVpeh6saL8ZDSJMa1yv1U6A1juNHUSvyn2Hm9,0,1,0.0000,0.0715,-0.0715,-91398.39,0.00,0,"paper_hands"
923,C9xtD6Tig92DhApoWMYRJu3qQgoJq95tANvZkMy3ne5f,0,1,0.0000,0.0717,-0.0717,-49716.31,-24.82,0,""
924,7MFWvzpofq2AbsjLQ7yCUM4xQ6iXHTRQtDiJjmuLzzbU,0,1,0.0000,0.0723,-0.0723,-48651.79,0.00,0,""
925,6c13rKK43fY6E2jCCKoPtJczoBickVb8N8R7dFDQeS1c,0,1,0.0000,0.0732,-0.0732,-149246.20,-10.56,0,""
926,D9m11wDJk9hwUaGWXwXVgurc6txTSmbTsNBFZibZzMvL,0,1,0.0000,0.0743,-0.0743,-150000.90,-28.66,0,""
927,EdTAkMsGALVhEQesHTenDnbCRUTD6e1AmjGUwciT1Zyn,0,1,0.0000,0.0745,-0.0745,-114556.96,-65.78,0,""
928,AB4zY5hDNaicTTeepcbQLTi4CD4j2PExs3Ux9vWyimWw,1,1,0.9901,1.0658,-0.0757,0.00,-86.74,0,"bullx"
929,38Z7QkdP5HqzqWTidrKMXA31VtX65wLv6CNwTN91RwRG,0,1,0.0000,0.0760,-0.0760,-150418.66,-7.82,0,""
930,HgLA2FRkD4UZBzUWhdECBiNQePph3MPJG2QcH4Xrr2cj,0,1,0.0000,0.0765,-0.0765,-68387.11,-21.58,0,""
931,ACz4LkiC7ZfxCxUET9gi8gpERWYx9fCxq2pdD8x71FiH,0,2,0.0000,0.0768,-0.0768,-119079.62,0.00,0,""
932,CatyeC3LgBxub7HcpW2n7cZZZ66CUKdcZ8DzHucHrSiP,5,5,1.8025,1.8814,-0.0789,67378.26,247.47,0,"sandwich_bot; gmgn; bluechip_owner"
933,4KoH8zJkyiwqN7uySncZkbME5ZmAFttSABaF23wWNBDL,2,1,0.0431,0.1226,-0.0795,-73636.27,-15.28,0,""
934,4xvry3FDkezRx9MQCt42MDiXAwFohNzFkPo4PabUDdXD,0,1,0.0000,0.0808,-0.0808,-98633.32,-24.75,0,"axiom"
935,JApBGtbBtsNosE1Z5CiyUkTMhAxATqH1NAuJJenHUceR,12,12,2.5523,2.6354,-0.0830,127025.80,1164.49,0,"bluechip_owner"
936,Fp1bwX2E3A5AThEzNnmMHNTtKuZnt5qQqY7vVJKar7hu,0,1,0.0000,0.0831,-0.0831,-82710.47,9.79,0,""
937,sXgFkWzmZ9XNPme3r8BgHeCnEfn3k6t9AznX54su5LZ,86,108,1.7624,1.8463,-0.0839,-89380.15,-19.98,0,"padre"
938,BrawzCH5Vk112TFhX2D1PRhTvpF5wieoCR7bhC3WdKE5,2,2,2.0092,2.0932,-0.0840,0.00,15.41,0,"paper_hands"
939,ApEGPAYGo3A3YApu1fqFCDnJvE3o8UjorQj2Y4HC57Pc,0,1,0.0000,0.0843,-0.0843,-68261.84,-45.60,0,""
940,8RMANQ6KaD7QBNQTYjMpowDovnKbQJuzERjmsBk9trwC,1,1,0.0914,0.1770,-0.0856,-157130.52,474.29,0,""
941,CHjngeS7CWm3aSp35J21ZGZuiAN4sqRBKJbYyZcoehjC,5,5,0.9205,1.0068,-0.0863,2168.97,168.67,0,"sandwich_bot"
942,BFobdhAbdBteBuDvHUdBthsQqJyMuWnG9SGUheW1Ni2C,0,1,0.0000,0.0866,-0.0866,-78664.90,-37.57,0,""
943,9TqTKuPEHBU4v74iTgq7Vt8Txy1M1J5UGaYNHAXnnaRL,2,3,0.5376,0.6243,-0.0867,-212674.87,-63.81,0,""
944,9sjJE5NafFfH8GpN7tQkDdP3hP94Ukqj7DedJLhgB3Q5,0,1,0.0000,0.0876,-0.0876,-172843.93,-614.88,0.000001,""
945,t1NjVLtQ6fqLuZaK2RsQKQgvwRV2b6kxSfCDbvyR8PN,0,1,0.0000,0.0889,-0.0889,-201544.24,-125.45,0,"fresh_wallet"
946,Hjy7DtYC9c7W8xYCAMbLCPCpPxcjd3ox7uU9Z7wnB5Sx,0,1,0.0000,0.0891,-0.0891,-159227.62,-35.67,0,"trojan"
947,2QfBNK2WDwSLoUQRb1zAnp3KM12N9hQ8q6ApwUMnWW2T,139,139,6.6431,6.7331,-0.0900,217327.15,696.62,20370.721883,"sandwich_bot; bluechip_owner"
948,7yxnKL8uNhuncraag3Rnt1YyiJD8JbTyXdxq82pfu5o4,0,1,0.0000,0.0901,-0.0901,-81358.21,-20.39,0,""
949,7MiYrdELWYr5vuVpV9NcxVMZ3yvUpKAFj4mDgEvcx6KQ,0,1,0.0000,0.0909,-0.0909,-174534.56,-16.72,0,""
950,D9o4X1eau2syk7yqWmbVT7rZobUiSpxP1FHyHtHh1aCu,1,1,0.2309,0.3235,-0.0926,0.00,8.00,0,""
951,9RXuG4YZoS2vZG3iFFryUREcVZBFYWUMaHVNQSXP1eMr,0,1,0.0000,0.0931,-0.0931,-141423.91,-33.81,0,""
952,3BbGWrvzYkhoQjnWQFRYAtzsLV5q9iVxGw31FJGUDwh8,0,1,0.0000,0.0934,-0.0934,-174792.73,0.00,0,"paper_hands"
953,EiSEokSBEa9iHSN3gEUKbyCriKMkzqUfr5nLazkkHZki,5,6,2.8139,2.9076,-0.0938,-278616.54,-363.57,0,"paper_hands"
954,CskAmpNFACaFELbVHdgezJu1uda2ivLvH2xFoiKdmPCS,2,2,1.0990,1.1929,-0.0938,0.00,48.77,0,"smart_degen; paper_hands"
955,GS9jnfifEkJptAYb4KqMMC9Md9TRApRBseLZMuw2JYHj,3,2,0.1764,0.2716,-0.0952,-160888.25,-6.73,0,""
956,2tYcXQCfTtQg5dKLEpQn26DjrfhTXhGB8Rh1oiv69DJc,4,4,1.7263,1.8219,-0.0956,0.00,1.11,0,"paper_hands"
957,CkhMsWdcNHfgVYzyx1KAmeR6aENbz5TYpVpvkxagSE1N,4,3,0.1565,0.2526,-0.0962,-198181.24,-4.91,0,""
958,12BLKXs2JUSzMTq3r5JFor4FBiG4bA3kFpW5LpvMkweT,108,108,5.9759,6.0731,-0.0972,152460.07,210.70,0,""
959,HG36V1z9NijJUcQjTQofyom1FngyLHaVpTji1atJzJ69,1,1,0.9901,1.0875,-0.0973,0.00,6.24,0,"padre"
960,DauBFcsGKsyAZRziTBubiYb1aaXDZUfzL6GiTM7XdSNv,0,1,0.0000,0.0989,-0.0989,-212083.07,-55.74,0,""
961,8L2y55D11k63CAftvW7uMM2mBhtMxLoLnivG9uY2bt8j,147,150,7.7543,7.8542,-0.0999,170123.43,358.08,171.881127,"sandwich_bot; bluechip_owner"
962,5d8tDay1ZDV4XVUBtTvFvQiLxDe8dz2ZCdsrkmTDcbm5,15,15,3.1872,3.2871,-0.0999,116874.41,1625.94,0,"bluechip_owner"
963,2Bh6oScQh5QMrdUytTrJ6w871zgqHgycvyBUGYo8snwd,1,1,0.0297,0.1303,-0.1006,-138853.67,-5.86,0,"padre"
964,38d5vvoGn9TaoVdAZqe91kwt8ucxGyaXtMou5vuKBz8G,2,2,0.6862,0.7869,-0.1007,0.00,98.46,1394540.673684,"axiom; bundler"
965,3YN1E3wqypmmTMFny7WhnNbaskSzHwcbn7EhUXYAqx8Y,1,1,1.0017,1.1033,-0.1016,0.00,8.65,0,"gmgn"
966,toYbzmeiBWUJonZgopMYR9bz6CyrS4Q5esDiuUyKys5,0,1,0.0000,0.1021,-0.1021,-168254.77,-58.44,0,""
967,8BDT8Jebp6Roda8QsALo7FQiZA5xq26HwS568qsrLFPQ,0,1,0.0000,0.1022,-0.1022,-226459.34,-1628.66,0,""
968,4CsTK6Cnzn7JZ8vMPwLuFq7pHAtqvqZ3ouJ88UBZLpPU,0,1,0.0000,0.1029,-0.1029,-74059.94,71.88,0,""
969,DwQYcGhXhKG9NTFVoFD7ZMC6Kzy8g4f5BAQw1qyAVFjW,0,1,0.0000,0.1060,-0.1060,-157701.82,-6.90,0,""
970,HFX2dqzyQeRAdkjp41D4qThfsPPSyBDkVoruBr93zhY9,0,1,0.0000,0.1069,-0.1069,-195735.31,-4.09,0,""
971,J34QofgyfJxPKmbRwppFcYxZEzBx88QRtZp77ZwWJcEH,1,1,0.0204,0.1283,-0.1079,-149563.71,-350.82,0,""
972,MRiYA4oN3158fCV8evhuCofrDzbHyYvYnGZUDJvoCsa,15,15,2.6856,2.7938,-0.1082,69057.55,1476.94,0,""
973,WA7FRg1GNonpgQG9AtBVtnTkBTQde2VnwRi3zySvv6o,3,2,1.7374,1.8456,-0.1082,-1936598.67,-678.20,0,""
974,DZhCLZba5FfRdT8dGr5XinWiwpDvuqNChmP3JAsGkbtK,0,1,0.0000,0.1101,-0.1101,-88304.21,-0.68,0,"bundler"
975,9fzFTNLdjmhAYSP8KZ6vopUmcNZedyZQeHM9evMgwwa2,0,1,0.0000,0.1101,-0.1101,-99903.54,0.00,0,""
976,2NFjGw2hZuatezdJytFsCQso5LXmrvKNXpr1RqJpn7ZM,1,2,0.1256,0.2361,-0.1106,-100799.57,3.47,0,"bundler"
977,6mECkabVVJeBgJx7cLETTHmPkFLokkpKBmtXUrUxM1zi,3,1,1.9785,2.0896,-0.1111,0.00,2.49,0,"gmgn"
978,8t1vJQP9RRC5c4jve7ie3dCMVwGu9HV8sVvhCbooUX3x,0,1,0.0000,0.1113,-0.1113,-228288.99,-29.66,0,""
979,DUURaNCwo38dKhHqK2SB3LmNYH1WBjdYk5DS2yx5azA,0,1,0.0000,0.1114,-0.1114,-147666.35,-52.18,0,""
980,8RbbGg7iPgp7tcHJADjm6AoN4aWjp3XrL8vu1WSvDANL,0,1,0.0000,0.1116,-0.1116,-183309.40,-19.35,0,""
981,Fw7uPmKDbvigT6bk6zrt3C3GMvMG9G2i1ntRkgCXwCaw,0,1,0.0000,0.1117,-0.1117,-245266.85,-36.39,0,""
982,3bsmznq4dpMyfXRvcYUKW3HcTj1U4WAFsHFLQgSenQjp,0,1,0.0000,0.1132,-0.1132,-104583.92,-0.72,0,""
983,3qTPnWxbxKV73XeFuxKQyaDTbJw8XkiYNvQEemjQcUFu,1,2,0.1134,0.2274,-0.1140,-106858.72,13.52,0,""
984,12aNTj79EnzWHfPjT2Pq8kmMdGNAhPegNNTNSW6ojPB1,0,1,0.0000,0.1145,-0.1145,-256931.70,-0.76,0,"gmgn"
985,K7THqUATHsPRgXCs6Dnrh2x6HE8XatWdXDvX8MTsErH,0,2,0.0000,0.1146,-0.1146,-156534.24,-21.47,0,""
986,HCVHp29FQLtnAkQhswzh86FedmH2B28L57W4bDvdryNT,0,1,0.0000,0.1147,-0.1147,-95427.39,-292.40,0,""
987,AQcHw393S7Kdk376dpMc3xwdDfByy5VYFQbQvau63g7r,0,1,0.0000,0.1147,-0.1147,-167046.32,15.59,0,""
988,5xpVQdwx4CzEsdw8u7E8LLBFW4BURX9Hf5atYP3UW63y,0,1,0.0000,0.1149,-0.1149,-186633.39,15.15,0,""
989,M2zB4QGAJiztW5Fr2ZhfvHxnE8GMbrJVTxaY8YsM8rn,0,1,0.0000,0.1161,-0.1161,-204584.29,57.64,0,"bundler"
990,CQwT1byuHgjKnL6vzmuNaAywKfDBVxDmFVgsQDBWxcWt,4,4,3.6747,3.7912,-0.1164,119103.63,219.17,0,"sandwich_bot"
991,Sirius6CrwpvKKokCejugLfjyUcqVPZawScz6DqxWjA,9,5,1.2943,1.4107,-0.1165,-94967.37,86.14,0,"bundler; paper_hands"
992,Bz2L84fqbhB2gFCtbLvote53rgUxfoHwPguyJQfp3BLL,0,1,0.0000,0.1183,-0.1183,-158640.00,159.08,0,"fresh_wallet; bundler"
993,3zfjrveviJJdQCdA1faxVyAHRFud7bsiHYzzwLvzSC78,0,1,0.0000,0.1196,-0.1196,-158420.42,0.00,0,"paper_hands"
994,21Fx1CDL9L1bqGxJQEw7FcQGwUm4uP1eNoRH8Qk6zsMZ,0,1,0.0000,0.1199,-0.1199,-155577.97,209.04,0,"axiom"
995,4NqRs6zg6Y6KX8p6KAtzhACRf89MSe5Nfb4Xr8PWoykn,1,1,0.2451,0.3654,-0.1203,-300979.85,5.22,0,"axiom"
996,7KCUfgSDnRzfNW41253RxFHWP9UFP77zoEDayNJz5PNG,0,1,0.0000,0.1204,-0.1204,-196556.34,-9.49,0,""
997,5QztLwt1827zXdMC3FEzkWyApAi4j7UNhu5zzVTPyjpY,0,1,0.0000,0.1205,-0.1205,-220649.93,-378.95,0,""
998,9C7Vd9Xnffacoo9Sp7coGQRk9iUFRN2t5pNsKh6SXGau,0,1,0.0000,0.1246,-0.1246,-110911.89,-7.01,0,"fresh_wallet"
999,DS2M1rSkZyrDFbjdyCAvjJB5ebekbGE8RjLSHLg7uD5M,2,1,0.8849,1.0115,-0.1267,0.00,10.37,0,""
1000,EtLMe4Zw4Ka7hv3qdubUuhYkJpohJmdwZGCnQ2wMCsp2,1,2,0.2004,0.3279,-0.1275,-85952.00,-4.11,0,"trojan; paper_hands"
1001,4w8kvukFT8MvDYhVmfWh8gFWRAz7DWiFnKyXKxEcv9GR,0,1,0.0000,0.1281,-0.1281,-185036.86,-176.94,0,"padre"
1002,BTc4pYczJPg1NugecRgtewc27nKT7AywRGR8wGyUXt5N,1,1,0.0324,0.1618,-0.1294,-94122.15,-1.65,0,""
1003,EFpujXKib2iqKQtt5XLWTrUtappwCQMb2T8uo8v2QQsc,2,2,0.9891,1.1245,-0.1354,153330.46,-47.96,0,""
1004,J2gDQEPSKxSUcYK5hQGxCjZoBhNttNgyo7NRuEstYHPA,0,1,0.0000,0.1355,-0.1355,-261015.19,-92.17,0,""
1005,7UXHc9VF8GpW7PRgE8cWaHbaEukVpqo7oZTH9B1JsfZx,0,1,0.0000,0.1395,-0.1395,-95262.00,118.92,0,""
1006,Dmo6u1ZvadKMX9BQT29Ex15fsxQLZcijFQQBgMwHfLPH,0,1,0.0000,0.1415,-0.1415,-204329.76,-18.23,0,"trojan"
1007,3HmzCMEPbU67mQNe2dm4iQskgNES7uf1B4fiibiKJrL8,0,1,0.0000,0.1440,-0.1440,-291130.87,-68.43,0,""
1008,5RxUrUoMwQQ3aR2n5cJbYCRraUeMeL7gGoTGCFP5eEpf,0,1,0.0000,0.1447,-0.1447,-300572.81,-37.11,0,""
1009,9LbRAnQntUgFuuPf2TCGeUv24dgVrc2hnY2o7oociU1q,0,1,0.0000,0.1448,-0.1448,-294167.28,-78.58,0,"trojan"
1010,4WSmtakHuUCVap774FgoQ3K3mbuo6pM7kE8hwWkpWbYk,1,2,0.1734,0.3184,-0.1450,-143067.28,71.18,0,""
1011,56UWx5fDHnco6MRsXWu45VxY1SpCRHriENMFeMiRpFrY,1,1,0.0455,0.1911,-0.1456,-348222.87,-4.53,0,""
1012,8cD8C2N4TxbJRooMwMCCG6gB3BdcsmDXHPBLvFgfBNBP,0,1,0.0000,0.1457,-0.1457,-280534.50,-194.00,0,""
1013,55ybSnBipjCsGotfJAGcBuRQqhZGcpQUiXcLP5YbYA5f,11,1,1.7214,1.8678,-0.1464,0.00,12.59,0,"paper_hands"
1014,EFNLzewhyDdX6T2NNaR6LLQeBT2mP9g5SsCpDm9pkD8e,0,1,0.0000,0.1485,-0.1485,-120741.03,-2.92,0,"paper_hands"
1015,HNPLV1vLGQeCS6wtoLCwCKQXWbfV1yCesXnNyfhiVeJN,0,1,0.0000,0.1490,-0.1490,-216637.12,295.93,0,"axiom"
1016,E1wTdZWj1eX9gGrX1DoMWib64v5vnwA4XJMuSWqEGWuD,0,1,0.0000,0.1502,-0.1502,-292380.10,-80.06,0,"fresh_wallet"
1017,73neJWg5mxv6KwqY9ySzhGYZeB56KFQa13YgmbiNWXev,0,1,0.0000,0.1511,-0.1511,-167009.56,-26.12,0,""
1018,3S4cY6TfVD3ZqSUyCWPbEju8v37njLMn1KebZqRuM7Jq,0,1,0.0000,0.1512,-0.1512,-145579.34,7.17,0,"gmgn"
1019,EyxK4jRxFkt7NPPrEJgC2GJ3JsvVh2a7PiYEmuQ37sXN,0,1,0.0000,0.1552,-0.1552,-305391.20,-89.06,0,""
1020,JBVpuKD4cEVUjZ7conFwKZKzdpY92C1hzwCHYr99L54z,82,82,5.8538,6.0091,-0.1553,135300.94,796.23,0,"sandwich_bot; bluechip_owner"
1021,2heabgWobxiYtvvg7WkSSMvwLjpBixxXvspQyXfCmKkc,1,1,1.7846,1.9404,-0.1558,0.00,256.68,0,"paper_hands; bundler"
1022,DLdCMK2sxA7J7kUbrAkV8RPYnfsyinTaYjscYvYikonu,0,1,0.0000,0.1574,-0.1574,-133022.82,-0.02,0.00003,""
1023,DaD8wTQXk7Hs4SnWN8ZnvwyNTkgCFDHRK2ZJtGvWTrLz,2,1,0.1618,0.3210,-0.1592,-265552.38,-391.28,0,""
1024,GhBPW23R66oU6o6uzFrAh2nPz7CF4gxG19FXQTYSLzA2,0,1,0.0000,0.1613,-0.1613,-238275.98,-6.41,0,""
1025,GDAtwgeoSik1aAnqPSehe8mgL4fZRhQmYfyxGw5tZ7tX,5,2,1.6457,1.8073,-0.1616,-521367.89,-972.94,0,""
1026,Ax9nVyumFhA2v98ApKiLbD7TzuaDyiuNG18zm2RStndV,0,2,0.0000,0.1625,-0.1625,-238988.51,-64.62,0,"bundler"
1027,4p6xne4qP7crWD2ciHybXLo8gh7EJ5MFPL991jy1Appe,0,2,0.0000,0.1627,-0.1627,-239600.01,-64.29,0,"gmgn; bundler"
1028,HxjwdF326ZunmUwC1iXhfgL3ku78YsksN6n7Rfxzwr6b,3,3,1.7617,1.9245,-0.1628,0.00,135.52,3384.709019,"sandwich_bot; bundler"
1029,GY6LVAR41ZX7tfFAbc9ZtsFizuebp12g2f7PJC9rzUZn,1,2,0.6895,0.8529,-0.1633,-679596.89,-271.96,0,""
1030,AyDVufqCSfMtQpGTHZMvCt36Ws9GvyRr3eKw2ftGyttq,0,1,0.0000,0.1657,-0.1657,-219785.33,-27.93,0,"gmgn"
1031,Fgej4SPuW282TdrQRfizRHAeRasNqCtAWZizL3jDqMdS,3,6,0.6691,0.8355,-0.1663,-403477.50,-2343.83,0,"bluechip_owner; bundler"
1032,8HBKBxWcerwCR4LoorCk3bzGLMZaF9f59X7Ua2tZw9M3,0,1,0.0000,0.1666,-0.1666,-143721.32,-356.36,0,""
1033,54xoeTAkQGns2J4kBrHNYKYhzDKFjbFyWuSNf4LZJoRV,5,6,0.9323,1.0989,-0.1666,-217001.21,-31.31,1895142.641341,"paper_hands; diamond_hands"
1034,H9YRFqBfKcmrp8KVp8Tc8vRUcmhnwQf5TVz1QdcVWBpM,0,1,0.0000,0.1674,-0.1674,-243112.53,-298.22,0,""
1035,EEc8EZqMpj5zzwprwGPcWohnpzMNZNyfRJrKLxj99TH9,0,1,0.0000,0.1722,-0.1722,-250000.00,249.39,0,""
1036,B5n9BeMDAhMoJWKiirkkeQ2t6xSkaKyQ8gviinpYLaP2,0,1,0.0000,0.1730,-0.1730,-133167.01,0.00,0,""
1037,7mxkzeNyNq1mPYFQPeNMRgpL3R4aABPiL9KLM3oXcSNT,2,5,1.2674,1.4406,-0.1732,2466.32,661.81,0,"bluechip_owner; paper_hands"
1038,9yrEtvt8go5rRUhUGXWRzvBhJmEGunPf9JBXJNMWW9tx,2,2,0.1115,0.2869,-0.1754,-300359.35,7.35,0,"paper_hands"
1039,4o7UY53tBeHyP3P1VUJg1uk6rotvKRf7qfmySKAtGrEq,0,1,0.0000,0.1756,-0.1756,-378135.30,-46.19,0,""
1040,BGzLYcFcUZkW5GPZZAYK4Jxyf1W7aigyHQbvmKsQeeuq,3,3,3.3044,3.4805,-0.1761,0.00,60.79,0,"bundler; paper_hands"
1041,GbvNKENtqBcznp1PS9xgqj1jbyjSCsYeorR9QdTcC7v8,0,1,0.0000,0.1778,-0.1778,-235510.68,0.00,0,""
1042,9i8LGe9qaxCt54BACJyeQgimJoyiD4Ujxx4dQXyHTAcy,4,1,4.5504,4.7293,-0.1789,0.00,4.54,0,"gmgn"
1043,DhwgkirKB81jKQcycXRZb1vvW3AmXMNiZEMAdJjDwcnt,11,2,3.8058,3.9855,-0.1797,1484810.98,-100.43,0,""
1044,HDnAozESdWwAxKvEAkogC9a7Y5xHL9xpg3GUenoyPk4Y,9,9,9.1142,9.2944,-0.1802,-1149221.70,-16.28,0,"top_holder"
1045,6tu4MM1x7VjtHFjyuQrNhX6xzPbGz76sc1PZzF1UGyGg,0,1,0.0000,0.1894,-0.1894,-206310.78,67.38,45519.918212,"axiom"
1046,AVBKhhJJgVr8AHHBYccp4VTsrNFTdnsZXkdc8pMde15T,0,1,0.0000,0.1894,-0.1894,-223215.05,0.00,0,""
1047,HL4HUBvQCUga6zQdQxyXJTZqFYUK7QUbfhLR9HErZNVm,0,1,0.0000,0.1897,-0.1897,-435812.21,42.73,0,""
1048,EkZUuxHsi5HEL72AVVaK3XnpgFjTYD1xpv4Db9tEnd7p,0,1,0.0000,0.1909,-0.1909,-314428.43,-16.84,0,""
1049,3dfdsU4SMbDhfukKbojKk1mrS27yShvoa6WZoXbYxtQt,0,2,0.0000,0.1909,-0.1909,-406584.48,-54.68,0,"trojan"
1050,GajPm4jsEqiVX1HaA1bVYhAq8MYdyrB1WpM1cKdzk12v,0,1,0.0000,0.1945,-0.1945,-315829.17,-149.72,0,"gmgn"
1051,Dmf2vxVYLTuB5YnkSy1i5EX7Cb9yN4XPhnKGkEtAfcA8,1,1,0.8304,1.0259,-0.1955,-542537.61,-9.37,0,""
1052,9QzkZ2v4irecvypQpvJgK4SonWK1HedRHb9hqLNxT4Q5,0,2,0.0000,0.1956,-0.1956,-180129.71,113.64,0,""
1053,EcLgvJFLmN76cG6kvgB6HSdphQYWiey2yP2JJvbwgPop,0,1,0.0000,0.1989,-0.1989,-183117.37,-931.67,0,""
1054,gtagyESa99t49VmUqnnfsuowYnigSNKuYXdXWyXWNdd,16,16,5.1849,5.3847,-0.1998,159364.42,741.89,0,"sandwich_bot; bluechip_owner"
1055,8Z6S71AtrWNAEHRK86SD9ArvRNVdnJRvqz3fBbnsF5Yr,0,1,0.0000,0.2060,-0.2060,-138973.29,-78.99,0,""
1056,7cCtzuGjuuT3oscFiRzAASN9htSwbxurDaRn3BNyb1yM,0,1,0.0000,0.2092,-0.2092,-278220.54,-50.57,0,""
1057,BEcU74sJ6uuoBRLMHj26hpfYg1D64FDdFGu6NkFFvmmm,1,5,0.4017,0.6126,-0.2109,-307382.55,-70.32,0,"diamond_hands"
1058,HmvB1R5BMyUxuqcyU14YcPXFGj1nS9GFK7Y1m3fC4ygv,1,1,2.5115,2.7266,-0.2151,187008.74,138.26,0,""
1059,J7y73q6roZHXficTEt9QisSwJ9K7ymoTGeRDbhcDUWRJ,1,1,0.0303,0.2482,-0.2180,-333530.74,0.92,0,""
1060,5rYY1WFrNTQpfpxpGfrTxQyk8m9QC7JpLvWCdxazEGTP,0,1,0.0000,0.2180,-0.2180,-365877.43,-61.50,0,""
1061,DMVPPzGZkSH2cN9YT5pUCu2XPouzhTypnBeLJeEutnGd,1,2,0.0512,0.2736,-0.2224,-299345.91,8.98,0,"paper_hands"
1062,6zBiyXYqTnihKW9fds7xAmSscU2MQk7Qpm9QnuceJZKt,0,1,0.0000,0.2235,-0.2235,-570857.06,62.22,0,""
1063,4TGbTagJQGZoEnaLLgEPUgnm4ZCQ3opoBj6JZN4qNkCJ,0,1,0.0000,0.2265,-0.2265,-157760.72,0.00,0,""
1064,4gEahZ7TDyX7SPUQJyoSENWfPugXnQohXDgvpDo7wYuT,3,2,0.3196,0.5482,-0.2286,-371687.82,16.08,0,""
1065,9qeXfzgL5mDeM6j8nPEd1bXsowtsAABrsXZFWKQZ7L7k,0,1,0.0000,0.2304,-0.2304,-156684.52,11.32,0,""
1066,CmzYE5WdtyHJnBQZthbfrQ6pnqi7UxGyHYrGT3r6NWYj,1,1,0.1399,0.3717,-0.2318,-299414.41,21.39,0,"fresh_wallet"
1067,GPdyedHzSizjmgyAQZrnK6dBLpQQqeNKvbArNjXur5Xr,0,1,0.0000,0.2320,-0.2320,-369787.62,-92.88,0,""
1068,7xUE8QJZ7J9kfhmtsU9Gyzuii7VLMQprUoMnPA1WbeT9,0,1,0.0000,0.2320,-0.2320,-199444.87,27.23,0,"axiom; bundler"
1069,3Mvnz5L2b7imLb6AMmECArLGYMG6PQQ7AwGTPocChusB,0,1,0.0000,0.2331,-0.2331,-310769.61,-1533.49,0,""
1070,CSveUnHvonkoAoHi5qXe3yVk9YQYBhNX3pU2Xt6vwA2e,1,1,0.6009,0.8378,-0.2370,-811543.80,-576.66,0,"fresh_wallet"
1071,BygEKMT9rNV6i2taKn1nZNmXCWTC7b1akxoRgTWi7fJQ,1,1,0.1978,0.4364,-0.2385,-446229.76,4.52,0,""
1072,ApWDCf8h8mZoJ35Z5wy5owo3m3gsUjsJGwrLoKbirsVN,0,1,0.0000,0.2386,-0.2386,-305229.81,-227.42,0,""
1073,3EnNn49T6LfpvT9Pikfd637LZdJb9N2QX3djdGa84QTx,2,1,0.1980,0.4368,-0.2388,-596672.03,-78.83,0,""
1074,D4sue12BxfCCywa2hKZiNUEAQtqxzhkrozYri63MmUZ6,1,2,0.0495,0.2914,-0.2418,-407871.91,-24.22,0,"padre"
1075,Gc9N6a18Zn2kCLcCeUkNSQespaJAaGoG26qJY828rpkX,0,1,0.0000,0.2437,-0.2437,-166956.92,-22.48,0,"axiom"
1076,2mr8xqnF7fsLgvDE3RqKeWVxzPFCyEsnMF5rukfRW6qC,0,1,0.0000,0.2465,-0.2465,-353075.46,-556.65,0,""
1077,AijzoQexW5Lc9qiCWqu1vExtwiYnCfRiqwmJZRXK2T4B,2,4,0.0369,0.2899,-0.2530,-450209.53,128.80,1002081.074044,""
1078,JD6rVaerbyz6wjQ433nrw6bFTgFrp46MiYmi8EtUAfsG,476,476,19.9042,20.1667,-0.2625,353765.20,549.87,22640.617102,"sandwich_bot; bluechip_owner"
1079,8T7umLEKX2v5foAWvB635VV1emEjYXNfvJ8W3VMeGG9W,0,1,0.0000,0.2626,-0.2626,-260778.63,0.00,0,""
1080,HhBcuJrg6G1sZTRVLP1ZAPSz2xF2fzLsb8zi9cX2Pt2,4,1,0.9371,1.2000,-0.2629,-273143.99,8.33,0,"fresh_wallet"
1081,82tpQ8R2qDp7qiNcyVmAdMFvuhTPoApJZSiom1PTmEBM,0,1,0.0000,0.2640,-0.2640,-558846.54,-398.91,0,""
1082,8rUmSYsL69VXBnCB6ed2GJ2tH2bCtqw5zsBHUqkez2uw,0,1,0.0000,0.2703,-0.2703,-336113.45,-1259.34,0,""
